time,altitude,apoapsis,periapsis,speed,pitch,throttle,mass,dynamic_pressure,I_ud,F_thrust,v_h,a_h,m_start,m_final,is_MVD
0.02,80.77,82.23,-598435.37,5.49,89.96044921875,1.0,85898.11,17.84,284.2,1583571.5,0.0,0.0,85954.93,,0
1.15,91.62,102.52,-598435.58,14.58,89.96572875976562,1.0,85307.2,118.08,284.24,1583794.38,0.0,0.0,85954.93,,0
2.16,110.72,138.87,-598435.78,23.43,89.97201538085938,1.0,84727.64,309.02,284.32,1584227.75,0.0,0.0,85954.93,,0
3.18,140.04,195.05,-598435.97,32.76,89.97201538085938,1.0,84148.09,592.69,284.43,1584865.62,0.0,0.0,85954.93,,0
4.2,178.27,268.76,-598436.16,42.01,89.96572875976562,1.0,83568.53,970.28,284.58,1585704.75,0.0,0.0,85954.93,,0
5.22,225.99,361.29,-598436.34,51.36,89.97201538085938,1.0,82988.98,1442.05,284.77,1586739.62,0.0,0.0,85954.93,,0
6.24,283.3,473.01,-598436.51,60.81,90.0,1.0,82409.42,2007.31,284.99,1587963.5,0.0,0.0,85954.93,,0
7.25,348.89,601.5,-598436.67,70.16,89.97201538085938,1.0,81841.23,2650.67,285.23,1589338.25,0.0,0.0,85954.93,,0
8.26,423.87,749.06,-598436.84,79.59,89.980224609375,1.0,81261.68,3395.32,285.52,1590908.62,0.0,0.0,85954.93,,0
9.28,511.89,923.04,-598437.0,89.48,89.97201538085938,1.0,80682.12,4225.75,285.83,1592636.88,0.0,0.0,85954.93,,0
10.3,608.24,1114.27,-598437.16,99.24,89.97201538085938,1.0,80102.57,5137.55,286.16,1594510.25,0.0,0.0,85954.93,,0
11.32,714.59,1326.15,-598437.32,109.07,89.97201538085938,1.0,79523.02,6125.64,286.52,1596514.62,0.0,0.0,85954.93,,0
12.34,830.99,1559.0,-598437.47,118.97,89.96044921875,1.0,78943.46,7184.69,286.9,1598635.38,0.0,0.0,85954.93,,0
13.36,957.53,1813.15,-598437.62,128.93,89.96044921875,1.0,78363.91,8308.97,287.3,1600857.75,0.0,0.0,85954.93,,0
14.37,1091.49,2083.32,-598437.77,138.77,89.980224609375,1.0,77795.72,9468.62,287.71,1603120.62,0.0,0.0,85954.93,,0
14.48,1108.23,2117.16,-598437.79,139.96,89.96044921875,1.0,77727.53,9611.31,287.76,1603397.12,0.0,0.0,85954.93,,0
